minor_name,minor_reqs
Family Life (Minor),"This minor is intended for non-School of Family Life majors only.
The School of Family Life requires a minimum of nine hours to be taken in residence at BYU and from the School of Family Life for this degree program. These hours may also go toward BYU's 30-hour residency requirement for graduation.
Requirement 1 — Complete 3 Courses
SFL 160 - Intro to Family Processes 3.0
SFL 210 - Human Development 3.0
SFL 260 - Family Finance 3.0
Requirement 2 — Complete 6 hours
SC ED 476R - Secondary Student Teaching - You may take once 12.0
SFL 102 - Introduction to Interiors 3.0
SFL 110 - Food Preparation in the Home 2.0
SFL 185R - Basic Sewing Techniques - You may take once 3.0
SFL 200 - Strengthening Marriage/Family 3.0
SFL 202 - Design in the Home 3.0
SFL 205 - Home and Family Living 3.0
SFL 215 - Advanced Food Preparation 3.0
SFL 221 - Foundations of DAP 2.0
SFL 222 - DAP Practicum 2.0
SFL 223 - Preparation for Marriage 3.0
SFL 224 - Marriage Enhancement 3.0
SFL 230 - Housing the Family 3.0
SFL 240 - Parenting & Child Guidance 3.0
SFL 261 - Consumerism and the Market 3.0
SFL 276R - Exploration of Tchg-Fam & CS - You may take once 3.0v
SFL 280 - Dynamics of Clothing 3.0
SFL 287 - Intermed Sewing Techniques 3.0
SFL 290 - Critical Inquiry&Research Meth 3.0
SFL 305 - Applied Stats/Data Management 3.0
SFL 315 - Effective Writing & Presenting 3.0
SFL 325 - Marital Relationships 3.0
SFL 328 - Hist of Interior Design&Arch 1 3.0
SFL 329 - Hist of Interior Design&Arch 2 3.0
SFL 330 - Pre-Prof Prep for MFT 1.0
SFL 331 - Infant Dev in the Family 3.0
SFL 333 - Adolescent Dev in Fam & Soc 3.0
SFL 334 - Adult Development & Aging 3.0
SFL 335 - Family Adaptation&Resiliency 3.0
SFL 336 - Theories in Fam Perspective 3.0
SFL 340 - Family Meal Management 3.0
SFL 345 - Family Life in World Religions 3.0
SFL 351 - Social Development 3.0
SFL 352 - Perception Cognition Language 3.0
SFL 354 - Cross-Cultural Fam & Hum Dev 3.0
ECE 355 - Language Development 3.0
SFL 356 - Gender Development in Families 3.0
SFL 357 - Therapeutic Play Foundations 3.0
SFL 358 - Media, Fam & Human Dev 3.0
SFL 359 - Child Life 3.0
SFL 360 - Advanced Family Finance 3.0
SFL 370 - Families in Communities 3.0
SFL 371 - Consumer Sciences Technology 1.0
SFL 376 - Healthy Sexuality in Marriage 3.0
SFL 377 - Tchg Mthds in Fam&Cons Sci Ed 3.0
SFL 378 - Practicum in Secondary Educ 1.0
SFL 379 - Class & Lab management 1.0
SFL 380 - History of Apparel 3.0
SFL 382 - Textiles 3.0
SFL 387 - Adv Sewing: Patternmaking 3.0
SFL 393R - Special Projects in Clothing - You may take once 0.5v
SFL 395R - Special Topics in Family Life - You may take once 1.0v
SFL 399R - Academic Internship - You may take once 1.0v
SFL 400 - Addiction Recovery Healing 3.0
SFL 401 - Helping Relationships 3.0
SFL 403R - Rsrch/Creative Works Practicum - You may take once 0.5v
SFL 420 - Admin ECE Program 2.0
SFL 449 - Biological Fndtns of Human Dev 3.0
SFL 453 - Moral Development 3.0
SFL 460 - Advanced Family Processes 3.0
SFL 461 - The Family & the Law 3.0
SFL 465 - Marr & Fam Enrichment/Therapy 3.0
SFL 471 - Family Work & Relationships 3.0
SFL 472 - Temporal Welfare in Families 3.0
SFL 487 - Adv Sewing Studies: Constructn 3.0
SFL 488R - Home-Based Entrepre - You may take once 1.0
SFL 489 - Family & Public Policy 3.0
SFL 490 - Adv Issues in Human Dev 3.0
SFL 496R - Secondary Teaching Internship - You may take once 12.0
SFL 498 - FLE: Theory,Rsch & Practice 3.0"
French (Minor),"- The French and Italian Department requires a minimum of nine hours to be taken in residence at BYU for this minor program.
- Complete the following prerequisite courses: Fren 101, 102, 201, 202. (May be waived with previous equivalent language experience.)
Requirement 1 — Complete 3 Courses
FREN 321 - Advanced French Part 1 3.0
FREN 322 - Advanced French Part 2 3.0
FREN 340 - Intro to Literary Analysis 3.0
Requirement 2 — Complete 2 of 3 Courses
FREN 361 - French Civilization to 1715 3.0
FREN 362 - French Civilization 1715-Pres 3.0
FREN 363 - Contemp. France, Francophone 3.0
Courses Requirement 3 — Complete 1 of 13 Courses
FREN 330 - Intro to French Linguistics 3.0
FREN 414 - French Translation 3.0
FREN 432 - History of French 3.0
FREN 433R - Studies in French Linguistics - You may take once 3.0
FREN 445 - Advanced Francophone Culture 3.0
FREN 452R - Studies in Period,Mvmt & Theme - You may take once 3.0
FREN 453R - Studies in Genre - You may take once 3.0
FREN 454R - Studies in Author - You may take once 3.0
FREN 455R - Studies in Literary Theory - You may take once 3.0
FREN 456R - Francophone Studies - You may take once 3.0
FREN 457R - Studies in French Culture - You may take once 3.0
FREN 490R - Individual Study - You may take once 1.0v
MSB 596R - Business Language - You may take once 3.0"
French Teaching (Minor),"This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major
Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
- The French and Italian Department requires a minimum of 12 minor hours to be taken in residence at BYU for this minor program. These hours may also go toward BYU's 30-hour residency requirement for graduation.
Grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements.
- Complete the following prerequisite courses: Fren 101, 102, 201, 202. (May be waived with previous equivalent language experience.)
Requirement 1 — Complete 1 Requirement
Requirement 1.1 — Complete 7 Courses
Note : FREN 378 and 379 must be taken concurrently.
FREN 321 - Advanced French Part 1 3.0
FREN 322 - Advanced French Part 2 3.0
FREN 330 - Intro to French Linguistics 3.0
FREN 340 - Intro to Literary Analysis 3.0
FREN 377 - French Teaching Methods 3.0
FREN 378 - Tchg Methods 3.0
FREN 379 - French Teaching Practicum 1.0
Requirement 2 — Complete 1 of 3 Courses
FREN 361 - French Civilization to 1715 3.0
FREN 362 - French Civilization 1715-Pres 3.0
FREN 363 - Contemp. France, Francophone 3.0
Requirement 3 — Complete 3 hours
FREN 330 - Intro to French Linguistics 3.0
FREN 445 - Advanced Francophone Culture 3.0
FREN 452R - Studies in Period,Mvmt & Theme - You may take once 3.0
FREN 453R - Studies in Genre - You may take once 3.0
FREN 454R - Studies in Author - You may take once 3.0
FREN 456R - Francophone Studies - You may take once 3.0
FREN 457R - Studies in French Culture - You may take once 3.0
FREN 490R - Individual Study - You may take up to 3.0 credit hours 1.0v
Requirement 4 — Complete 1 Requirement
Oral Proficiency:
Complete Fren 491 and have an oral proficiency interview (OPI) before enrolling in Fren 378. The rating will be recorded on the student's transcript. The required minimum OPI rating is ""Advanced-low"" before applying to student teach in the major.
Requirement 4.1 — Complete 1 Course
FREN 491R - Sr Oral Proficiency Evaluation - You may take once 0.0
Note: Before applying for student teaching or an internship, students must receive an official OPI certificate from ACTFL with a rating of ADVANCED-LOW or higher. At least one month before student teaching applications are due, students should schedule an OPI through the Center for Language Studies, 3086 JFSB.
Requirement 5 — Complete 1 Course
FREN 477R - Sec Minor Student Teaching - You may take once 4.0
Note: The Department of French and Italian offers the following resources to strengthen language skills: conversation courses (Fren 211R, 311R, 411R), the Foreign Language Student Residence, Study Abroad, or an internship in French-speaking countries. Please refer to the specific program or course description for detailed information about these resources."
Geography Teaching (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 4 Courses
GEOG 101 - Global Environment 3.0
GEOG 120 - Geography & World Affairs 3.0
GEOG 130 - Intro to Human Geography 3.0
GEOG 212 - Intro to GIS 3.0
Requirement 2 — Complete 1 of 2 Courses
GEOG 245 - Geography of Utah 3.0
GEOG 250 - US and Canada 3.0
Requirement 3 — Complete 2 Courses
HIST 477 - Hist & Soc Sci Tchng Methods 3.0
HIST 478 - Practicum in Secondary Educ 1.0
Requirement 4 — Complete 1 Course
GEOG 477R - Sec Minor Student Teaching - You may take once 4.0"
Geology (Minor),"No D credit is allowed in minor courses.
Requirement 1 — Complete 2 Courses
GEOL 111 - Physical Geology 4.0
GEOL 112 - Historical Geology 4.0
Requirement 2 — Complete 8 hours
GEOL 100 - Dinosaurs 3.0
GEOL 109 - Geology of Planets 3.0
GEOL 210 - Field Studies 3.0
GEOL 351 - Mineralogy 4.0
GEOL 352 - Petrology 3.0
GEOL 370 - Sedimentology & Stratigraphy 3.0
GEOL 375 - Structural Geology 3.0
GEOL 405 - GeoMathematics 3.0
GEOL 411 - Geomorphology 3.0
GEOL 435 - Groundwater 3.0
GEOL 440 - Solid Earth Geophysics 3.0
GEOL 445 - Geochemistry 3.0
GEOL 452 - Petrography to Petrogenesis 3.0
GEOL 460 - Economic & Resource Geology 3.0
GEOL 480 - Paleontology 3.0
GEOL 546 - Isotope Geochemistry-Low Temp 3.0"
Geology Education (Minor),"This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
When all the geology credit required for a minor is transferred from another school, at least one course in geology must be taken at BYU.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 3 Courses
GEOL 111 - Physical Geology 4.0
GEOL 112 - Historical Geology 4.0
PHY S 377 - Teaching Methods & Instruction 3.0
Requirement 2 — Complete 8 hours
GEOL 100 - Dinosaurs 3.0
GEOL 109 - Geology of Planets 3.0
GEOL 210 - Field Studies 3.0
GEOL 351 - Mineralogy 4.0
GEOL 352 - Petrology 3.0
GEOL 370 - Sedimentology & Stratigraphy 3.0
GEOL 375 - Structural Geology 3.0
GEOL 405 - GeoMathematics 3.0
GEOL 411 - Geomorphology 3.0
GEOL 435 - Groundwater 3.0
GEOL 440 - Solid Earth Geophysics 3.0
GEOL 445 - Geochemistry 3.0
GEOL 452 - Petrography to Petrogenesis 3.0
GEOL 460 - Economic & Resource Geology 3.0
GEOL 480 - Paleontology 3.0
GEOL 546 - Isotope Geochemistry-Low Temp 3.0
Requirement 3 — Complete 1 Course
GEOL 477R - Sec Minor Student Teaching - You may take once 4.0"
Geospatial Science & Technology (Minor),"Requirement 1 — Complete 4 Courses
GEOG 211 - Mapping Your World 3.0
GEOG 212 - Intro to GIS 3.0
GEOG 311 - Intermediate GIS 3.0
GEOG 312 - Cartographic Desgn 4.0
Requirement 2 — Complete 3 of 7 Courses
GEOG 213 - Earth & Image Interpretation 2.0
GEOG 217 - Programming for Geographers 3.0
GEOG 313 - Remote Sensing 1 3.0
GEOG 411 - Issues in Computer Cartography 3.0
GEOG 412 - Advanced GIS 3.0
GEOG 413 - Remote Sensing 2 3.0
GEOG 521R - GIS Practicum - You may take once 3.0"
German (Minor),"Complete the following prerequisite courses: Germ 101, 102, 201. Some or all may be waived based on placement exam. See german.byu.edu for more information or contact the department.
Requirement 1 — Complete 4 Courses
Note: Complete 2.0 credits of German 311R.
GERM 202 - 2nd-Year German 4.0
GERM 301 - German Cultural History 3.0
GERM 302- Germany 20th Century 3.0
GERM 311R - Advanced Conversation - You may take once 1.0v
Requirement 2 — Complete 1 of 2 Courses
Note: German 345 and 346 are only offered on German language study abroad
GERM 345R - Field Studies in German - You may take once 1.0v
GERM 346 - German Art and Architecture 3.0
Note: This minor is designed for students of German who have had no missionary-level residency experience in a German-speaking country."
German Teaching (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
Declare the minor at the Liberal Arts Advisement Center and contact the German Teaching major advisor for advising.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Complete the following prerequisite courses: Germ 101, 102, 201, 202. Some or all may be waived based on placement exam. See german.byu.edu for more information or contact the department.
Requirement 1 — Complete 6 Courses
Note: Germ 377 must be taken concurrently with Germ 378. Germ 377 and 378 may be waived for students who have taken a methods course for another language.
GERM 301 - Intermediate German 3.0
GERM 302 - Germany 20th Century 3.0
GERM 303 - Germany Today 3.0
GERM 344 - Intro to German Linguistics 3.0
GERM 377 - Methods in Teaching German 3.0
GERM 378 - Practicum in Teaching German 1.0
Requirement 2 — Complete 3 hours
Complete 3 additional hours of courses numbered 217 or higher.
GERM 217 - German & Scandinavian Cinema 3.0
GERM 250 - Marx, Nietzsche, Freud 3.0
GERM 340 - Writing About Literature 3.0
GERM 343 - Intro to German Literature 3.0
GERM 345R - Field Studies in German - You may take once 1.0v
GERM 346 - German Art and Architecture 3.0
GERM 399R - Academic Internship - You may take once 0.5v
GERM 412R - German Proficiency Workshop 2 - You may take once 1.0v
GERM 416 - Linguistics Research 2 1.0v
GERM 440R - Topics in German Literature - You may take once 3.0
GERM 450 - Hist of the German Language 3.0
GERM 460 - Structure of Modern German 3.0
GERM 470R - Topics in German Linguistics - You may take once 3.0
GERM 476 - Secondary Student Teaching 12.0
GERM 490R - Special Studies in German - You may take once 0.5v
GERM 497R - Sr Sem in German Language - You may take once 3.0
Complete an ACTFL Oral Proficiency Interview and receive a minimum rating of Advanced-Low before applying to student teach. Contact the Center for Language Studies (3086 JFSB) to schedule your interview. The OPI should be completed prior to student teaching.
Complete the ETS Praxis test in German (see the state of Utah's requirement) prior to applying for graduation and licensing. Register for the Praxis test at www.ETS.org.
Requirement 3 — Complete 1 Course
GERM 477R - Sec Minor Student Teaching - You may take once 4.0"
Gerontology (Minor),"Requirement 1 — Complete 1 of 3 Options
Complete an internship or research experience that is primarily focused on older adults. Students should enroll in an internship or research course provided by their major department. Students must email the course number and experience description to the Gerontology Program in order to request approval of their internship or research experience for Gerontology Minor credit. If approved, the Gerontology Program will substitute the student?s internship or research course for GERO 399R or GERO 403R. If an internship course is not available through the student’s major department, they may sign up for GERO 399R.
Option 1.1 — Complete 3 hours
GERO 403R - GERO Research - You may take up to 3.0 credit hours - This course is no longer available for registration and will count only if you completed it while it was offered. Please see your college advisement center for possible substitutions. 1.0v
Option 1.2 — Complete 2 Courses
NURS 491 - Nursing Capstone 2.0
NURS 492 - Cl Prac Capstone Nurs 5.0
Option 1.3 — Complete 3 hours
Note: Internships other than those listed below can be approved by the Academic Advisor (major specific).
EXSC 399R - HWSG Internship - You may take up to 3.0 credit hours 1.0v
GERO 399R - GERO Internship - You may take up to 3.0 credit hours 0.5v
STDEV 399R - Health Professions Internship - You may take up to 3.0 credit hours 0.5v
Requirement 2 — Complete 6 hours
Complete 6 hours from the following core courses:
CELL 305 - Human Physiology 4.0
CELL 362 - Advanced Physiology 3.0
COMD 420 - Neurofndtns Lang,Spch,Hearing 3.0
EXSC 387 - Chronic Disease Prevention 3.0
EXSC 460 - Ortho Impairments & Ther Exer 3.0
HLTH 466 - Hlth & the Aging Process 3.0
NEURO 205 - Neurobiology 3.0
NEURO 460 - Behavioral Neuroscience 3.0
NURS 291 - Nurs Care of the Older Adult 2.0
NURS 292 - Cl Prac Nurs Fundamentals 1.5
NURS 293 - Communication for Nurs 0.5 - This course is no longer available for registration and will count only if you completed it while it was offered. Please see your college advisement center for possible substitutions.
NURS 333 - End-of-Life Care 3.0
PSYCH 220 - Human Dev: Life Span 3.0
PSYCH 322 - Developmental Psych: Adulthood 3.0
PSYCH 381 - Behavioral Neurobiology 3.0
SFL 334 - Adult Development & Aging 3.0
SOC 333 - End-of-Life Care 3.0
SOC 365 - Sociology of Aging 3.0
Requirement 3 — Complete 6 hours
Core classes can be substituted for elective credit.
CELL 205 - Human Biology 3.0
CELL 210 - Human Anatomy (w/ virtual lab) 3.0
CELL 220 - Human Anatomy (with lab) 4.0
CELL 365 - Pathophysiology 4.0
CELL 550R - Adv Topics-Cell Bio & Physiol - You may take once 1.0v
CELL 561 - Physiology of Drug Mechanisms 3.0
CELL 565 - Endocrinology 3.0
COMD 370 - Medical Speech Pathology 3.0
EXSC 221 - Science of Wellness 3.0
EXSC 470 - Functional Neuroanatomy 3.0
FIN 200 - Personal Finance 3.0
FIN 418 - Financial Planning 3.0
HLTH 314 - Hlth, Disease & Determinants 1 3.0
HLTH 320 - Adv First Aid & Safety 3.0
HLTH 345 - Principles of Epidemiology 3.0
HLTH 425 - Vulnerable & Diverse Poplns 3.0
HLTH 450 - Women's Health 3.0
MMBIO 261 - Infection & Immunity 3.0
NDFS 100 - Essentials of Human Nutrition 3.0
NDFS 424 - Nutrition Through Life Cycle 2.0
PSYCH 342 - Psychopathology 3.0
PSYCH 375 - Cognition 3.0
SFL 210 - Human Development 3.0
SFL 260 - Family Finance 3.0
SFL 306 - Death and Dying 3.0"
